"","LUV","JBLU","ALK","ALGT","GOL","GLUX","CPA","HA","SKYW","AAPL","KODK","WATT","KOSS","MSN","VUZI","UEIC","FN","PHG","ABBV","LLY","NVS","AZN","ADTN","HIVE","AUDC","ALLT","AVNW","ATEN","DAL","AAL","SAVE","CEA","ZNH","VLRS","UAL","stock.data.a6.df$ARCO"
"623",39.529999,13.61,49.220001,172.190002,6.3,5e-04,74.029999,17.559999,37.240002,171.550095,5,1.35,12.15,0.84,9.05,39.950001,115.050003,33.150566,128.128937,276.045563,82.611336,55.767242,20.861851,12.95,33.454063,11.58,30.35,14.882231,36.560001,16.950001,21.73,18.02,27.549999,17.110001,40.779999,5.064142
"624",39.66,13.91,50.029999,176.720001,6.41,5e-04,74.830002,18,38.09,170.434723,5.15,1.38,12.93,0.83,9.29,40.060001,114.93,33.793983,125.941261,264.550262,82.448166,54.722038,20.842106,12.5,33.414635,11.18,29.940001,14.902021,36.369999,17.299999,21.42,17.85,26.889999,17.049999,41.099998,5.004797
"625",39.360001,13.65,49.34,176.770004,6.08,5e-04,76.169998,17.780001,37.66,169.050461,4.97,1.32,12.33,0.81,8.69,39.299999,113.769997,32.9585,127.234421,260.652557,81.920265,55.249527,21.385126,14.05,34.153896,11.69,31.42,15.782684,38.52,18.120001,22.58,18.23,28.01,17.25,43.93,5.153161
"626",40.869999,14.52,52.07,187.380005,6.42,5e-04,79.830002,19.1,40.560001,172.2771,5.14,1.34,12.61,0.81,9.26,40.200001,116.260002,33.429062,126.34964,262.037537,82.534546,55.620716,21.414745,14.25,33.779339,11.86,31.27,15.81237,39.130001,18.26,22.75,18.059999,27.98,17.459999,44.57,5.14327
"627",41.119999,14.64,52.189999,188.199997,6.58,5e-04,82,19.08,40.400002,174.916183,5.09,1.29,12.29,0.81,9.24,40.630001,117.459999,34.168514,128.391449,263.640106,82.84169,56.734306,21.730686,15.3,33.749767,12.14,31.68,16.089434,39.299999,18.26,22.83,18.43,28.379999,17.65,44.869999,5.271852
"628",41.869999,14.67,53.02,190.179993,6.46,5e-04,82.440002,19.24,41.25,175.553558,5.11,1.35,12.33,0.82,9.26,41.32,118.019997,34.859951,129.402618,270.169312,83.177628,56.304501,22.619263,15.4,34.351032,12.52,32.799999,16.712822,39,18.17,22.49,18.25,28.66,17.799999,44.580002,5.271852
"629",41.759998,14.56,52.619999,189.169998,6.46,5e-04,81.949997,19.09,40.84,179.586868,4.92,1.26,12.05,0.85,9.3,41.299999,122.029999,35.080826,130.686081,275.422333,84.089455,56.714771,22.382309,13.95,34.114471,11.86,31.67,16.396181,39.630001,18.540001,22.530001,18.25,29.01,18.01,45.27,5.47956
"630",42.290001,14.68,52.900002,190.979996,6.35,5e-04,82.510002,19.08,40.709999,178.551147,4.8,1.23,11.57,0.82,8.6,41.200001,120.480003,35.570595,130.666611,273.463562,84.588554,56.968746,22.767359,13.3,34.311607,11.83,31.9,16.594084,39.16,18.049999,21.98,18.4,28.629999,17.559999,44.43,5.548797
"631",42.16,14.38,52.139999,190.660004,5.8,5e-04,81.720001,18.65,40.080002,178.640778,4.6,1.21,11.08,0.8,8.35,41.139999,121.82,35.551388,131.609741,275.432251,84.578964,57.2911,22.629135,13.2,34.272179,11.95,32.110001,16.336811,39.040001,18.07,22.1,18.75,29.59,17.85,44.130001,5.736724
"632",42.720001,14.24,51.939999,188.990005,6.15,5e-04,82.309998,18.469999,39.400002,177.465622,4.72,1.26,11.2,0.84,8.73,40.810001,118.839996,35.70504,132.16394,274.27475,83.94548,57.115269,22.540277,13.2,34.242607,11.88,32.080002,16.406075,39.080002,17.959999,21.85,18.5,29.66,17.969999,43.779999,5.766397
"633",42.84,14.24,52.099998,187.039993,6.05,5e-04,82.660004,18.370001,39.299999,176.838242,4.68,1.25,10.68,0.81,8.67,40.75,118.470001,35.38813,131.648621,273.255798,83.955078,56.900368,22.678501,13.3,35.050869,12.44,33.259998,15.960796,40.290001,18.75,22.48,18.690001,29.99,17.75,45.490002,5.944433
"634",44,14.7,54.07,190.949997,5.97,5e-04,83.199997,19.34,40.57,181.259918,4.89,1.32,11.84,0.84,9.01,40.639999,121.730003,36.425289,131.668091,268.814026,84.339005,56.958977,21.612207,13.6,33.572346,12.29,33.400002,15.673839,40.59,19.02,23.450001,19.5,30.440001,17.67,46.25,6.043342
"635",44.66,14.72,55.450001,193.169998,5.81,5e-04,84.900002,19.559999,41.830002,178.959442,4.83,1.32,11.11,0.81,9.47,40.830002,123.169998,36.242828,131.415283,263.946777,83.955078,55.943077,21.286396,12.2,33.197784,12.11,31.879999,15.060343,40.279999,18.68,23.030001,19.379999,30.99,17.620001,45.779999,5.845524
"636",43.990002,14.68,54.77,176.119995,5.35,5e-04,81.800003,19.18,40.720001,174.199158,4.6,1.23,10.3,0.82,8.7,40.220001,119.510002,35.647419,132.105606,257.852875,84.492577,55.562111,20.733501,12,33.059792,12.22,31.540001,15.337405,40.110001,18.57,22.870001,18.85,30.59,17.6,45.77,5.568579
"637",43.889999,14.7,54.459999,177.600006,5.48,5e-04,81.050003,19.049999,40.799999,171.291183,4.63,1.21,10.5,0.83,8.23,39.310001,120.110001,35.493767,131.483337,256.547089,84.742126,55.356976,20.170734,11.45,33.030216,12.21,31.4,14.793176,41.509998,19.280001,23.610001,19.450001,30.9,18.540001,47.310001,5.499342
"638",45.349998,15.11,55.860001,178.220001,5.67,5e-04,83.160004,19.75,41.23,171.460495,4.55,1.24,10.62,0.82,7.97,38.740002,120.620003,36.271637,131.143036,256.71524,85.721138,56.148205,20.101624,11.5,33.079506,11.96,30.83,14.84265,40.630001,18.790001,22.700001,19.610001,30.700001,18.68,46.580002,5.350979
"639",45.240002,14.63,55.099998,178.75,5.55,5e-04,82.470001,19.190001,41,171.480408,4.47,1.24,10.1,0.81,8.02,38.91,119.589996,36.809422,132.611206,257.318695,86.460197,56.53894,19.815302,12.05,33.513206,12.25,31.469999,14.911916,41.23,19.02,22.799999,20.32,31.52,18.940001,46.900002,5.499342
"640",45.830002,14.93,55.990002,183.080002,5.78,5e-04,85.07,19.65,41.470001,174.35849,4.58,1.25,10.34,0.8,8.28,39.02,119.919998,37.231964,133.17514,259.504974,86.258636,56.753841,19.203173,12.65,33.454063,12.08,31.93,14.674433,40.610001,18.5,22.629999,20.200001,31.049999,19.209999,46.540001,5.519124
"641",45.209999,14.67,55.150002,182.75,5.97,5e-04,84.360001,19.370001,40.209999,174.806641,4.53,1.25,10.11,0.81,8.11,38.150002,120.110001,31.777294,133.486267,253.17366,86.181854,57.046894,19.232792,11.5,32.862656,11.84,31.799999,14.219258,41.470001,19.34,23.780001,19.950001,31.42,19.42,48.169998,5.509233
"642",45.790001,15.12,56.549999,187.380005,6.06,5e-04,87.010002,20.459999,41.720001,171.480408,4.5,1.19,9.96,0.83,7.65,39.040001,118,32.68961,131.167847,246.990723,86.9785,56.753841,19.39076,12.1,32.310673,11.34,31.459999,14.298419,40.310001,18.49,23.290001,19.32,31.1,19.5,46.740002,5.410324
"643",45.82,14.85,55.790001,186.100006,6.17,5e-04,87.93,20.18,41.630001,172.356796,4.51,1.18,9.68,0.82,7.53,39.169998,118.099998,33.025723,133.47644,241.50029,86.911316,57.486465,18.906979,10.9,30.644867,10.3,29.209999,14.308315,39.540001,17.9,22.99,20.389999,32.610001,19.23,45.610001,5.350979
"644",45.43,14.72,54.98,181.820007,5.92,5e-04,83.599998,19.85,40.919998,169.100266,4.32,1.16,9.38,0.81,7.13,37.23,113.959999,32.391903,134.370407,244.418655,85.941895,58.453526,17.86043,10.6,30.38859,10.13,29.32,14.219258,38.82,17.309999,22.68,19.66,32.07,18.459999,44.400002,5.47956
"645",44.43,14.4,54.369999,180.050003,6,5e-04,82.779999,19.42,40.279999,165.544968,4.29,1.11,9.14,0.82,6.88,36.509998,111.010002,32.728024,132.828079,242.420303,85.279625,58.101868,17.534618,10.8,29.954887,10.22,29.290001,14.298419,38.84,16.76,23.059999,20.25,32.41,17.85,42.880001,5.57847
"646",44.34,14.31,53.810001,179.699997,6.26,5e-04,83.769997,19.32,39.630001,163.832062,4.15,1.12,8.96,0.77,6.83,35.34,111.989998,32.449524,130.686478,240.520935,84.646149,58.775879,17.218679,9.1,28.821354,9.86,28.209999,14.377581,37.860001,16.299999,21.610001,20.530001,32.279999,17.65,41.650002,5.529015
"647",43.369999,13.77,52.02,176.449997,6.18,5e-04,80.239998,18.459999,38.18,161.740723,3.99,1.05,8.74,0.8,6.67,35.009998,112.709999,31.806103,129.654968,240.45166,83.532761,57.730671,17.86043,9.35,29.156487,9.39,28.84,14.397371,37.91,16.41,21.540001,19.620001,32,17.15,41.389999,5.538906
"648",43.869999,13.77,51.400002,174.610001,6,5e-04,79.410004,18.389999,38.369999,160.953949,3.88,1.05,8.12,0.73,6.5,36.139999,114.940002,30.855379,129.831802,237.839996,81.709106,55.650024,18.373833,9.25,28.624218,8.98,28.99,14.219258,38.720001,16.459999,21.719999,19.85,32.93,17.459999,41.779999,5.815852
