"","LUV","JBLU","ALK","ALGT","GOL","GLUX","CPA","HA","SKYW","AAPL","KODK","WATT","KOSS","MSN","VUZI","UEIC","FN","PHG","ABBV","LLY","NVS","AZN","ADTN","HIVE","AUDC","ALLT","AVNW","ATEN","DAL","AAL","SAVE","CEA","ZNH","VLRS","UAL","volume.data.a6.df$ARCO"
"82",10462200,6925900,1480900,385100,481300,0,141400,957500,123000,69275200,150700,347700,2600,3400,215900,62400,285200,304100,5699300,3304500,1785300,6002800,261700,54380,113600,121000,40000,753000,4412800,13835700,1344800,2200,9300,911800,2218500,207700
"83",4044000,3779600,1669900,668100,629100,0,155600,638400,108200,73477200,78300,398800,6300,5200,169700,31800,133500,679700,5497000,4234600,1564000,2669400,145100,67260,260300,136200,25400,191300,3966400,10298500,1092500,6100,17700,516300,1841000,250000
"84",5439400,5919400,1438600,296400,493500,0,374100,462400,173100,96572800,77000,277200,1100,300,165900,72400,373200,651500,7146400,4168500,1744000,4679800,198200,40580,723400,30600,16800,381500,4480100,6843200,974900,1800,4800,245500,1552500,255100
"85",3074800,6389000,801800,132000,750200,0,97900,491800,160700,142839600,51800,878700,700,52000,80600,74500,384100,805900,6391500,2987800,1707700,2264200,225900,35220,483700,68500,800,953600,3814100,10356100,654500,7400,14000,252500,1694800,248000
"86",2280500,4435600,932700,206900,985200,0,227600,466600,157200,124522000,40600,183300,6400,20900,205000,44100,172300,406400,7222500,2424700,1958500,3751100,553200,46060,370500,144900,20000,639700,7024000,8779600,888200,2900,12200,299800,1997500,569700
"87",2555200,5433100,715500,172700,1131000,0,337900,549200,339900,139162000,20500,346900,11600,8400,202000,78200,381900,479100,10009400,4124400,1875700,5668200,435600,65480,202800,19100,4000,635500,5389600,8270900,920700,5000,10500,194700,2248300,282100
"88",2364500,5126600,666600,92600,455600,0,322000,545300,200100,151125200,34000,292800,3300,70800,205300,64400,278600,277800,13356300,2629100,906100,2804100,307400,62680,267000,51600,23600,339500,6164400,5888600,1262000,11000,26100,584800,1905900,425600
"89",2368000,4393000,740700,139100,736800,15177,286400,810300,234700,103272000,57200,476100,9800,2900,171900,113600,529800,321500,9127900,3002100,1253200,2324000,219400,77680,267000,370400,38000,284600,6915300,5500200,1167300,45300,27900,452000,2624000,260700
"90",2897900,4333200,777600,138100,1026500,0,437300,893300,272800,79897600,189200,320500,9000,13900,387300,89000,1165900,282400,7475600,3357300,2361100,3638300,268900,180980,323100,123800,9800,278300,5120300,4270300,683900,22500,8800,298300,1179300,303400
"91",2649200,2678300,709600,101400,954800,0,179400,523500,270000,75864400,42800,209400,12400,25700,280700,77700,282300,273100,9303600,3973700,4211000,4024500,384900,92280,189000,95500,113400,261400,7754400,6342400,1302800,12400,19700,197900,3014100,419400
"92",2860900,2937000,681200,114400,652600,0,460500,451100,210200,94940400,111800,308000,8800,5600,294400,83100,189200,214600,6561500,3076200,1183900,3143500,302700,51480,215100,69500,108600,180200,4821000,6352900,731000,3900,10300,139100,914900,388200
"93",2520600,4227700,506100,95900,1038000,0,275300,319700,167300,69986400,118400,1777900,31100,27400,384300,253000,239300,301900,11364100,2224100,1373100,5334000,259200,48540,434100,102700,126400,129900,3811600,4109100,397700,15000,25500,226400,1127100,244800
"94",3172600,3775600,603300,198700,779900,0,323300,440700,134400,81821200,414200,509600,7300,25900,140400,101600,163800,330500,8726300,1770200,887100,1957300,280400,45700,259600,76500,84400,227700,4424700,8662900,813000,5200,16300,156800,1542000,228400
